step,change,@nrwl/workspace,@angular/cli,angular,ngrx,typescript
1,major,12.3.4,12.0.1,12.0.1,12.0.0,4.2.4
1,none,12.2.0,11.2.13,11.2.14,11.1.0,4.0.7
0,none,12.1.1,11.2.13,11.2.14,11.1.0,4.0.7
0,none,12.0.8,11.2.13,11.2.14,11.0.0,4.0.7
0,none,11.6.3,11.2.13,11.2.14,11.0.0,4.0.7
0,none,11.5.2,11.2.13,11.2.14,11.0.0,4.0.7
0,none,11.4.0,11.2.13,11.2.14,11.0.0,4.0.7
0,major,11.3.2,11.2.13,11.2.14,11.0.0,4.0.7
0,minor,11.2.12,11.0.7,11.2.14,10.0.0,4.0.7
0,none,11.1.5,11.0.7,11.2.14,10.0.0,4.0.7
0,major,11.0.20,11.0.7,11.2.14,10.0.0,4.0.7
1,none,10.4.15,10.1.7,10.2.5,10.0.0,4.0.7
0,none,10.3.3,10.1.7,10.2.5,10.0.0,4.0.7
0,major,10.2.1,10.0.8,10.2.5,10.0.0,3.9.9
0,none,10.1.0,10.0.8,10.2.5,9.1.0,3.9.9
0,major,10.0.13,10.0.8,10.2.5,9.1.0,3.9.9
1,none,9.8.0,9.1.15,9.1.13,9.1.0,3.8.3
0,none,9.6.0,9.1.15,9.1.13,9.1.0,3.8.3
0,none,9.5.1,9.1.15,9.1.13,9.1.0,3.8.3
0,none,9.4.5,9.1.15,9.1.13,9.1.0,3.8.3
0,minor,9.3.0,9.1.15,9.1.13,9.1.0,3.8.3
0,minor,9.2.4,9.1.15,9.1.13,9.0.0,3.8.3
0,none,9.1.4,9.0.7,9.1.13,9.0.0,3.7.7
0,major,9.0.4,9.0.7,9.1.13,9.0.0,3.7.7
1,minor,8.12.11,8.3.23,8.2.14,8.3.0,3.5.3
